data_year,pub_agency_name,pub_agency_unit,state_abbr,division_name,region_name,agency_type_name,population_group_desc,county_name,time_0001_0200_cnt,time_0201_0400_cnt,time_0401_0600_cnt,time_0601_0800_cnt,time_0801_1000_cnt,time_1001_1200_cnt,time_1201_1400_cnt,time_1401_1600_cnt,time_1601_1800_cnt,time_1801_2000_cnt,time_2001_2200_cnt,time_2201_0000_cnt,firearm_injury_cnt,firearm_no_injury_cnt,knife_injury_cnt,knife_no_injury_cnt,hands_fists_feet_injury_cnt,hands_fists_feet_no_injury_cnt,other_injury_cnt,other_no_injury_cnt,leoka_felony_killed,leoka_accident_killed
2020,Bethel,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",BETHEL,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"",""
2020,Homer,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,0,0,0,0,0,0,3,0,6,6,0,0,0,0,0,0,9,3,3,0,"",""
2020,Juneau,,AK,Pacific,West,City,"Cities from 25,000 thru 49,999",JUNEAU,108,132,0,12,72,96,36,192,96,108,240,132,0,0,0,0,240,924,0,60,"",""
2020,Fairbanks,,AK,Pacific,West,City,"Cities from 25,000 thru 49,999",FAIRBANKS NORTH STAR,60,20,20,0,0,20,20,0,30,0,10,20,20,0,0,0,150,20,10,0,"",""
2020,Valdez,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",VALDEZ-CORDOVA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"",""
2020,Alaska State Troopers,,AK,Pacific,West,State Police,"Non-MSA counties 100,000 or over",NOT SPECIFIED,120,156,144,108,24,168,192,108,324,108,228,156,24,180,0,60,492,852,12,216,"",""
2020,North Pole,,AK,Pacific,West,City,"Cities under 2,500",FAIRBANKS NORTH STAR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",""
2020,North Slope Borough,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",NORTH SLOPE,27,0,0,0,9,0,0,9,18,0,18,18,0,9,0,0,36,45,9,0,"",""
2020,Anchorage,,AK,Pacific,West,City,"Cities from 250,000 thru 499,999",ANCHORAGE,672,480,588,228,204,276,228,312,648,468,804,660,12,348,0,180,936,3180,156,756,"",""
2020,Kenai,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,8,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,0,"",""
2020,Dillingham,,AK,Pacific,West,City,"Cities under 2,500",DILLINGHAM,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,6,3,0,"",""
2020,Kodiak,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KODIAK ISLAND,0,4,4,0,0,0,0,4,0,4,0,4,0,0,0,0,12,4,4,0,"",""
2020,Haines,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",HAINES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",""
2020,Petersburg,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",PETERSBURG,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,"",""
2020,Unalaska,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",ALEUTIANS WEST,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,"",""
2020,Wasilla,,AK,Pacific,West,City,"Cities from 10,000 thru 24,999",MATANUSKA-SUSITNA,24,6,12,6,0,0,0,0,0,0,12,12,0,0,0,0,18,12,12,30,"",""
2020,Bristol Bay Borough,,AK,Pacific,West,City,"Cities under 2,500",BRISTOL BAY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"",""
2020,Ketchikan,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KETCHIKAN GATEWAY,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,"",""
2020,Palmer,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",MATANUSKA-SUSITNA,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,"",""
2020,Ted Stevens Anchorage International Airport,,AK,Pacific,West,Other,"Cities under 2,500",NOT SPECIFIED,0,25,0,0,0,0,0,0,5,10,15,0,0,0,0,0,0,50,0,5,"",""
2020,Soldotna,,AK,Pacific,West,City,"Cities from 2,500 thru 9,999",KENAI PENINSULA,0,0,0,0,0,0,36,6,0,12,0,0,0,0,0,18,0,36,0,0,"",""
2020,Arley,,AL,East South Central,South,City,"Cities under 2,500",WINSTON,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,"",""
2020,Bridgeport,,AL,East South Central,South,City,"Cities under 2,500",JACKSON,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"",""
2020,Argo,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999","JEFFERSON, ST CLAIR",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"",""
2020,Brent,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",BIBB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",""
2020,Adamsville,,AL,East South Central,South,City,"Cities from 2,500 thru 9,999",JEFFERSON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",""
2020,Alabama Law Enforcement Agency,,AL,East South Central,South,Other State Agency,"Cities under 2,500",NOT SPECIFIED,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"",""
2020,Crenshaw,,AL,East South Central,South,County,"Non-MSA counties under 10,000",CRENSHAW,2,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,4,6,0,0,"",""
2020,DeKalb,,AL,East South Central,South,County,"Non-MSA counties from 25,000 thru 99,999",DEKALB,16,0,4,0,0,0,0,4,0,8,4,12,0,0,0,0,4,44,0,0,"",""
2020,Tallapoosa,,AL,East South Central,South,County,"Non-MSA counties from 10,000 thru 24,999",TALLAPOOSA,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,6,0,0,"",""
2020,Washington,,AL,East South Central,South,County,"MSA counties from 10,000 thru 24,999",WASHINGTON,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,"",""
